UNITID,LATITUDE,LONGITUDE
181783,42.2416,-97.0142
181853,40.8675,-97.5793
182281,36.107,-115.1412
182290,39.5528,-119.8256
182458,39.2459,-119.9395
182634,43.4117,-71.9758
182670,43.7137,-72.2603
182795,42.7823,-72.0579
182980,43.177,-71.8229
183026,43.0399,-71.4539
183044,43.1342,-70.9345
183062,42.926,-72.2814
183071,42.9903,-71.4688
183080,43.7574,-71.6912
183211,42.7383,-71.4555
183239,42.9851,-71.5082
183257,43.1903,-71.5064
183275,42.8077,-71.4836
183804,40.0955,-74.2208
183822,40.7942,-74.1959
183910,40.8343,-74.2737
183974,40.8487,-74.8328
184348,40.757,-74.4258
184603,40.8962,-74.03
184612,40.8673,-74.0965
184694,40.7774,-74.4354
184773,40.0987,-74.2262
184782,39.7098,-75.118
185129,40.7099,-74.0873
185262,40.6794,-74.2347
185572,40.2801,-74.0064
185590,40.8592,-74.1995
185828,40.742,-74.1771
186131,40.3482,-74.6644
186186,40.8114,-74.5022
186201,41.0075,-74.1164
186283,40.2831,-74.7428
186371,39.9486,-75.1253
186380,40.5038,-74.4505
186399,40.7413,-74.1753
186432,40.7271,-74.0715
186584,40.7429,-74.2488
186618,40.7811,-74.436
186867,40.7448,-74.0253
186876,39.4723,-74.4801
186900,40.2172,-74.2503
187046,40.2201,-74.7697
187134,40.2687,-74.7774
187444,40.9463,-74.1995
187648,34.1783,-103.3473
187745,35.5866,-106.01
187897,35.599,-105.2228
187967,34.066,-106.9075
187985,35.0839,-106.6202
188030,32.2829,-106.7478
188182,32.7755,-103.1869
188304,32.777,-108.2848
188429,40.7214,-73.6533
188526,42.6526,-73.7781
188641,42.2559,-77.7886
189088,41.9961,-73.8749
189097,40.8091,-73.964
189264,40.6054,-73.993
189273,40.6355,-73.9811
189705,42.9253,-78.8518
189848,42.9319,-75.8541
189857,40.6279,-73.9708
190044,44.6638,-74.9999
190099,42.8188,-75.535
190114,40.7235,-74.0071
190150,40.8083,-73.9619
190248,40.9425,-73.8221
190372,40.7294,-73.9905
190415,42.4453,-76.4827
190512,40.7402,-73.9834
190549,40.6319,-73.9531
190558,40.6039,-74.1487
190567,40.8198,-73.9506
190576,40.7485,-73.9836
190594,40.7687,-73.9648
190600,40.7703,-73.9884
190637,40.8739,-73.8946
190664,40.7378,-73.8154
190691,40.7027,-73.7946
190716,42.9023,-78.8904
190725,42.965,-78.789
190761,41.0541,-73.9523
190770,40.7461,-73.1648
190983,42.0927,-76.8113
191241,40.8612,-73.8896
191515,43.0478,-75.4089
191533,42.454,-75.0736
191621,42.7551,-78.8203
191630,42.8586,-76.9848
191649,40.716,-73.6008
191676,42.4268,-78.1569
191931,40.9271,-73.7856
191968,42.4226,-76.4951
192040,40.812,-73.9603
192110,40.7737,-73.9829
192165,41.2227,-73.8106
192192,42.6154,-77.0905
192323,43.0473,-76.0884
192439,40.6901,-73.9809
192448,40.82,-73.5933
192563,40.7783,-73.2374
192624,40.628,-73.9884
192703,40.8898,-73.9019
192712,40.8123,-73.9617
192749,41.0311,-73.7183
192819,41.722,-73.9343
192864,40.7691,-73.9597
192925,42.929,-78.8566
193016,41.0214,-73.8746
193052,40.6383,-73.9695
193070,40.7138,-73.9913
193247,40.605,-73.966
193292,40.686,-73.6263
193353,41.5112,-74.0129
193399,40.9128,-73.907
193584,43.1024,-77.5144
193645,40.8994,-73.7811
193654,40.7353,-73.9946
193900,40.7295,-73.9973
193973,43.1386,-79.0311
194091,40.8144,-73.6089
194161,41.0864,-73.9311
194189,41.2687,-73.8898
194310,40.711,-74.0047
194392,44.4374,-74.253
194541,40.6944,-73.9868
194569,42.1011,-75.9624
194578,40.6912,-73.9621
194657,40.6185,-73.9637
194666,40.6319,-73.9854
194693,41.1143,-74.0728
194736,40.5865,-73.67
194763,40.7233,-73.8177
194824,42.729,-73.6788
194958,43.1267,-77.799
195003,43.0903,-77.6752
195030,43.1266,-77.6316
195128,42.7282,-73.6935
195164,42.0786,-78.4759
195173,40.6931,-73.9917
195216,44.5899,-75.1613
195234,42.6647,-73.7861
195243,41.0411,-73.9342
195304,40.9341,-73.8438
195438,40.6053,-73.7404
195474,42.7186,-73.7515
195526,43.0927,-73.7851
195544,40.6905,-73.968
195720,43.1171,-77.517
195809,40.722,-73.7953
196042,40.7541,-73.4264
196060,42.6869,-73.825
196079,42.088,-75.9711
196088,43.0004,-78.7892
196097,40.9164,-73.1473
196103,43.0344,-76.1392
196112,43.1353,-75.2292
196121,43.2099,-77.9498
196130,42.9342,-78.8807
196149,42.5589,-76.1856
196158,42.451,-79.3361
196167,42.7969,-77.822
196176,41.7372,-74.0887
196185,42.4666,-75.0642
196194,43.453,-76.5439
196200,44.6629,-74.9769
196219,41.0471,-73.7001
196237,40.7898,-73.571
196246,44.6911,-73.4673
196255,40.6553,-73.9438
196264,43.0783,-73.7799
196291,40.809,-73.8003
196307,43.043,-76.139
196413,43.0376,-76.1351
196431,40.636,-73.9722
196440,43.1471,-77.5749
196583,40.6355,-73.972
196592,40.7422,-73.9899
196866,42.8176,-73.9285
